"","Group","site","status","replicate","complexity","depth","x20","x30","x40","x45","x50","x55","x60","x65","x70","x75","x80","x85","x100","x110"
"64","3","Geordie  Bay","Out",4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","3","Geordie  Bay","Out",5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","3","Geordie  Bay","Out",6,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","3","Geordie  Bay","Out",7,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","3","Geordie  Bay","Out",8,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","3","Parker Point","In",1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","3","Parker Point","In",2,4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","3","Parker Point","In",3,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","3","Parker Point","In",4,4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","3","Parker Point","In",5,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","3","Parker Point","In",6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","3","Parker Point","In",7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","3","Parker Point","In",8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","3","Parker Point","In",9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","3","Parker Point","Out",1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","3","Parker Point","Out",2,4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","3","Parker Point","Out",3,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","3","Parker Point","Out",4,4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","3","Parker Point","Out",5,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","3","Parker Point","Out",6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","3","Parker Point","Out",7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","3","Parker Point","Out",8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","3","Parker Point","Out",9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","4","Geordie  Bay","Out",1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"88","4","Geordie  Bay","Out",2,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","4","Geordie  Bay","Out",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","4","Geordie  Bay","Out",4,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","4","Geordie  Bay","Out",5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","4","Geordie  Bay","Out",6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
